,simplifiedradical,code
0,一,11
1,丨,21
2,丿,41
3,乙,11
4,亅,21
5,丶,51
6,二,11 11
7,亠,51 11
8,人,43
9,儿,42
10,入,43
11,八,43
12,冂,23
13,冖,23
14,冫,52
15,几,44
16,凵,21
17,刀,14
18,力,32
19,勹,44
20,匕,42
21,匚,13
22,匸,13
23,十,31
24,卜,21 51
25,卩,13
26,厂,14
27,厶,43
28,又,14
29,囗,24
30,土,32
31,士,32
32,夂,44
33,夊,44
34,夕,44
35,大,34
36,女,44
37,子,15
38,宀,51 23
39,寸,31 51
40,小,54
41,尢,44
42,尸,12 41
43,屮,22 21 41
44,山,22 21
45,川,42 21
46,工,15
47,己,12 21
48,巾,23 21
49,干,15
50,幺,43 51
51,口,24
52,广,51 14
53,廴,14
54,廾,33
55,弋,32 51
56,弓,12 21
57,彐,12 12 
58,彡,41 41 41
59,彳,42
60,心,55
61,戈,34 51
62,戶,41 12 41
63,手,41 11 31
64,支,31 14
65,攴,21 25
66,文,51 11 43
67,斗,52 31
68,斤,41 41 13
69,方,51 11 44
70,无,11 34
71,日,25
72,曰,25 
73,月,23 11 11
74,木,34
75,欠,45
76,止,21 22 11
77,殳,44 14
78,毋,44 11 52
79,比,21 11 42
80,毛,41 11 31
81,氏,42 32
82,气,41 11 11
83,水,21 53
84,火,54
85,爪,41 41 21
86,父,43 43
87,爻,31 31
88,爿,32
89,片,41 22 11
90,牙,13 21 41
91,牛,45
92,犬,34 51
93,歹,11 44
94,玄,51 11 33
95,玉,15 51
96,瓜,41 41 21
97,瓦,11 44 51
98,甘,33 11 11
99,生,41 11 32
100,用,23 11 31
101,田,25
102,疋,15 43
103,疒,55
104,癶,14 43
105,白,41 25
106,皮,14 21 14
107,皿,23 21 21
108,目,25
109,矛,14 13 41
110,矢,35 
111,石,35
112,示,55
113,禸,23 43
114,禾,41 34
115,穴,51 23 43
116,立,55 11
117,至,11 43 32
118,竹,41 13 41
119,缶,41 15 22
120,网,23 43 43
121,羊,52 15
122,羽,12 12
123,老,32 41 42
124,而,11 23 21
125,耒,11 34
126,耳,15
127,聿,12 31 11
128,肉,23 43 43
129,臣,13 21 12
130,自,41 25
131,纟,43
132,臼,45
133,舌,41 31 24
134,舛,44 13 13
135,舟,41 23 52
136,艮,12 43
137,色,44 12 21
138,艸,31 22
139,虍,45 44
140,虫,45
141,血,41 23 21
142,行,42 11 13
143,衣,51 42 43
144,襾,11 21 23
145,米,35
146,见,25 42
147,角,44 23 31
148,讠,52
149,谷,43 43 24
150,豆,11 24 52
151,豕,45
152,豸,41 52 45
153,贝,25 43
154,赤,32 54
155,走,32 21 43
156,⻊,24 21 22
157,身,41 23 11
158,车,35
159,辛,55 15
160,辰,14 13 43
161,辵,41 21 34
162,邑,24 12 21
163,酉,11 42 24
164,釆,41 35
165,里,25 32
166,金,35
167,长,41 31 51
168,阜,42 12 31
169,隶,12 31 53
170,隹,42 51 15
171,雨,13 23 53
172,青,11 32 23
173,非,21 11 21
174,门,51 23
175,风,44 43
176,革,33 24 31
177,韭,21 11 21
178,音,55 11 25
179,页,11 25 43
180,面,11 25 11
181,飞,11 43
182,饣,44
183,首,52 11 25
184,香,41 34 25
185,韦,11 13 11
186,马,45 11
187,骨,23 23 23
188,高,51 24 23
189,髟,13 41 41
190,鬥,21 15 15
191,鬯,43 22 42
192,鬲,24 23 52
193,鬼,25 42 43
194,鱼,45 31 11
195,鹵,21 24 43
196,鹿,45 21 42
197,麦,11 32 44
198,麻,14 34 34
199,鸟,45 51 11
200,黃,33 25 43
201,黍,34 43 53
202,黑,24 32 54
203,黹,54 52 23
204,黾,24 25 21
205,鼎,25 21 21
206,鼓,32 52 31
207,鼡,53 44 15
208,鼻,25 25 42
209,齐,51 43 42
210,齿,22 43 22
211,龙,34 41 51
212,龟,45 31
213,龠,43 24 23
